Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,26852.669921875,26852.669921875,26747.619140625,26827.640625,26827.640625,3271620000
2019-10-22,26850.4296875,26946.640625,26782.609375,26788.099609375,26788.099609375,3523890000
2019-10-23,26835.240234375,26896.890625,26745.0,26833.94921875,26833.94921875,3392870000
2019-10-24,26893.9296875,26931.779296875,26714.33984375,26805.529296875,26805.529296875,3692600000
2019-10-25,26789.609375,27015.369140625,26765.6796875,26958.060546875,26958.060546875,3370370000
2019-10-28,27040.330078125,27167.880859375,27028.7109375,27090.720703125,27090.720703125,3521230000
2019-10-29,27061.0703125,27165.939453125,27039.759765625,27071.4609375,27071.4609375,3589930000
2019-10-30,27110.7109375,27204.359375,26999.640625,27186.689453125,27186.689453125,3776030000
2019-10-31,27188.369140625,27188.369140625,26918.2890625,27046.23046875,27046.23046875,4139280000
2019-11-01,27142.94921875,27347.4296875,27142.94921875,27347.359375,27347.359375,3930200000
2019-11-04,27402.060546875,27517.580078125,27402.060546875,27462.109375,27462.109375,4146850000
2019-11-05,27500.23046875,27560.359375,27453.55078125,27492.630859375,27492.630859375,4486130000
2019-11-06,27502.740234375,27526.05078125,27407.810546875,27492.560546875,27492.560546875,4458190000
2019-11-07,27590.16015625,27774.669921875,27590.16015625,27674.80078125,27674.80078125,4144640000
2019-11-08,27686.19921875,27694.94921875,27578.970703125,27681.240234375,27681.240234375,3499150000
2019-11-11,27580.66015625,27714.390625,27517.669921875,27691.490234375,27691.490234375,3035530000
2019-11-12,27701.58984375,27770.859375,27635.3203125,27691.490234375,27691.490234375,3466010000
2019-11-13,27622.0390625,27806.400390625,27587.19921875,27783.58984375,27783.58984375,3509280000
2019-11-14,27757.19921875,27800.7109375,27676.970703125,27781.9609375,27781.9609375,3276070000
2019-11-15,27843.5390625,28004.890625,27843.5390625,28004.890625,28004.890625,3335650000
2019-11-18,27993.220703125,28040.970703125,27969.240234375,28036.220703125,28036.220703125,3436690000
2019-11-19,28079.759765625,28090.2109375,27894.51953125,27934.01953125,27934.01953125,3590070000
2019-11-20,27879.55078125,27897.279296875,27675.279296875,27821.08984375,27821.08984375,4034890000
2019-11-21,27820.279296875,27828.330078125,27708.33984375,27766.2890625,27766.2890625,3720560000
2019-11-22,27831.23046875,27898.4609375,27773.98046875,27875.619140625,27875.619140625,3226780000
2019-11-25,27917.76953125,28068.689453125,27917.76953125,28066.470703125,28066.470703125,3511530000
2019-11-26,28080.75,28146.01953125,28042.2109375,28121.6796875,28121.6796875,4595590000
2019-11-27,28156.470703125,28174.970703125,28075.23046875,28164.0,28164.0,3033090000
2019-11-29,28103.16015625,28119.509765625,28042.529296875,28051.41015625,28051.41015625,1743020000
2019-12-02,28109.740234375,28109.83984375,27782.349609375,27783.0390625,27783.0390625,3268740000
2019-12-03,27501.98046875,27524.740234375,27325.130859375,27502.810546875,27502.810546875,3653390000
2019-12-04,27634.630859375,27727.44921875,27612.080078125,27649.779296875,27649.779296875,3695030000
2019-12-05,27736.05078125,27745.19921875,27562.80078125,27677.7890625,27677.7890625,3355750000
2019-12-06,27839.6796875,28035.849609375,27839.6796875,28015.060546875,28015.060546875,3479480000
2019-12-09,27987.05078125,28010.419921875,27906.140625,27909.599609375,27909.599609375,3345990000
2019-12-10,27900.650390625,27949.01953125,27804.0,27881.720703125,27881.720703125,3343790000
2019-12-11,27867.310546875,27925.5,27801.80078125,27911.30078125,27911.30078125,3252540000
2019-12-12,27898.33984375,28224.94921875,27859.869140625,28132.05078125,28132.05078125,3990690000
2019-12-13,28123.640625,28290.73046875,28028.3203125,28135.380859375,28135.380859375,3736870000
2019-12-16,28191.669921875,28337.490234375,28191.669921875,28235.890625,28235.890625,4051790000
2019-12-17,28221.75,28328.630859375,28220.560546875,28267.16015625,28267.16015625,3837540000
2019-12-18,28291.439453125,28323.25,28239.279296875,28239.279296875,28239.279296875,4014080000
2019-12-19,28278.310546875,28381.48046875,28278.240234375,28376.9609375,28376.9609375,3720450000
2019-12-20,28608.640625,28608.640625,28445.599609375,28455.08984375,28455.08984375,6454270000
2019-12-23,28491.779296875,28582.490234375,28491.779296875,28551.529296875,28551.529296875,3060610000
2019-12-24,28572.5703125,28576.80078125,28503.2109375,28515.44921875,28515.44921875,1296540000
2019-12-26,28539.4609375,28624.099609375,28535.150390625,28621.390625,28621.390625,2160680000
2019-12-27,28675.33984375,28701.66015625,28608.98046875,28645.259765625,28645.259765625,2428670000
2019-12-30,28654.759765625,28664.689453125,28428.98046875,28462.140625,28462.140625,3013290000
